joylashuv;xonalar;maydon;qavat;bino_qavati;narx
Uchtepa;4;96;5;9;49900
Chilonzor;2;48;1;4;39000
Yashnobod;2;45,82;1;5;29000
Chilonzor;2;51;5;5;32500
Mirzo Ulugbek;3;70;4;4;75000
Chilonzor;1;37;1;4;26500
Olmzor;2;69;3;9;40795
Yunusobod;4;84;3;4;73000
Olmzor;3;69,33;2;4;46000
Olmzor;4;86;1;5;57000
Chilonzor;2;48;2;4;44000
Chilonzor;4;138;1;3;135000
Mirzo Ulugbek;1;42;2;4;62000
Yakkasaroy;3;105;1;8;112000
Yunusobod;3;80;1;10;90000
Yakkasaroy;3;80;1;10;90000
Yunusobod;2;54;2;4;58000
Yakkasaroy;3;75;3;9;53000
Shayhontohur;2;55;3;4;43000
Yakkasaroy;1;27;3;3;19500
Olmzor;2;50;1;9;37000
Olmzor;2;58;2;9;34000
Mirzo Ulugbek;2;45;3;3;26000
Yunusobod;1;45;5;5;24000
Yashnobod;2;58;3;3;37000
Mirzo Ulugbek;3;74;4;4;51000
Mirzo Ulugbek;3;80;1;4;98000
Yunusobod;4;110;3;9;88000
Mirobod;3;70;2;4;60000
Uchtepa;4;80;5;5;45000
Uchtepa;3;100;4;12;54000
Yakkasaroy;4;110;3;10;73000
Yunusobod;1;46;7;9;39500
Uchtepa;3;78;2;4;56000
Mirzo Ulugbek;2;48;3;3;33000
Yunusobod;4;99;1;4;72000
Yakkasaroy;1;29;9;9;15714
Yakkasaroy;2;65;2;9;52500
Mirzo Ulugbek;2;50;1;5;52000
Mirobod;5;300;3;8;425000
Uchtepa;4;80;1;4;58000
Uchtepa;2;54;5;5;30000
Uchtepa;3;90;2;5;65000
Uchtepa;2;50;4;4;33000
Uchtepa;4;91;2;4;65000
Mirobod;2;61;2;4;39000
Yunusobod;3;101;8;9;125000
Yashnobod;3;74;8;9;59500
Shayhontohur;3;72;2;9;58999
Mirzo Ulugbek;3;90;2;9;51000
Yakkasaroy;3;65,5;2;4;60800
Mirzo Ulugbek;3;73;5;5;39000
Mirzo Ulugbek;2;50;1;4;30000
Mirzo Ulugbek;2;40;1;3;26000
Mirzo Ulugbek;2;40;5;5;31500
Yakkasaroy;1;44;2;9;27000
Yunusobod;2;60;4;5;37000
Yashnobod;1;59;3;6;23600
Uchtepa;2;47;5;5;32000
Uchtepa;4;80;1;5;70000
Uchtepa;4;80;5;5;43000
Yunusobod;3;78;4;4;55000
Mirzo Ulugbek;2;60;6;9;34000
Chilonzor;2;42;4;5;28500
Mirzo Ulugbek;2;42;2;5;33500
Mirzo Ulugbek;2;55;5;5;35000
Uchtepa;1;42;2;5;28000
Mirzo Ulugbek;2;55;4;4;35000
Yunusobod;2;50;4;4;33500
Sergeli;1;44;5;7;29000
Shayhontohur;3;70;2;4;70000
Yakkasaroy;2;36;1;4;30000
Mirzo Ulugbek;4;138;5;9;295000
Mirzo Ulugbek;2;52;1;5;31000
Yakkasaroy;3;75;6;8;115000
Yashnobod;3;75;5;9;64700
Mirzo Ulugbek;2;50;3;4;40000
Shayhontohur;3;78;6;9;55000
Mirobod;3;61;4;4;60000
Uchtepa;2;48;5;5;27500
Uchtepa;1;42;3;5;32000
Uchtepa;4;80;5;5;48000
Uchtepa;2;42;1;4;32000
Yakkasaroy;2;98;6;8;95000
Olmzor;3;70;3;4;41000
Yashnobod;3;75;4;9;62000
Mirzo Ulugbek;3;130;3;9;155000
Mirobod;4;120;1;4;135000
Sergeli;3;56;1;7;45000
Yunusobod;3;70;1;4;60000
Chilonzor;3;98;8;10;60000
Olmzor;5;100;4;4;54000
Mirobod;4;121;5;9;115000
Yunusobod;2;58;4;5;33500
Mirobod;4;92;2;5;55000
Sergeli;3;80;8;9;41000
Mirzo Ulugbek;3;72;4;4;41000
Bektemir;1;41;2;2;19000
Yunusobod;4;200;4;5;220000
Yunusobod;5;280;6;8;320000
Olmzor;4;83;5;5;40000
Yakkasaroy;3;72;3;4;95000
Mirzo Ulugbek;3;60;4;4;29000
Yakkasaroy;3;76;5;9;43500
Yakkasaroy;1;38;2;5;27500
Chilonzor;1;27;3;3;19500
Yakkasaroy;2;58;5;5;41000
Mirzo Ulugbek;4;80;5;5;47000
Mirzo Ulugbek;3;80;4;4;88000
Mirzo Ulugbek;1;36;4;4;21000
Yunusobod;5;254;1;8;285000
Yunusobod;6;252;1;8;285000
Uchtepa;1;40;2;4;26500
Yunusobod;2;52;3;4;75000
Mirobod;2;65;5;9;71000
Chilonzor;2;48;3;4;31000
Yunusobod;2;85;5;9;105000
Yashnobod;2;59;3;6;25408
Chilonzor;1;32;3;4;30000
Mirobod;3;65;2;2;32500
Mirobod;2;68;5;5;44500
Shayhontohur;3;72;8;9;55000
Yunusobod;2;65;3;4;76000
Olmzor;3;183;3;4;90000
Uchtepa;2;50;1;4;40000
Olmzor;4;130;4;4;80000
Yashnobod;1;42;4;8;14800
Olmzor;3;96;4;5;145000
Mirzo Ulugbek;3;88;2;4;132000
Chilonzor;2;84;3;7;69000
Mirzo Ulugbek;3;85;4;4;84000
Yunusobod;2;60;6;9;55000
Chilonzor;3;77;1;4;48000
Yunusobod;6;252;1;8;285000
Chilonzor;3;60;4;4;57500
Chilonzor;4;135;4;4;95000
Uchtepa;4;97;1;9;82000
Yakkasaroy;2;82;6;9;49200
Uchtepa;1;40;1;4;25500
Mirobod;4;130;3;9;105000
Yakkasaroy;2;64;1;5;42000
Uchtepa;3;72;4;9;43500
Mirzo Ulugbek;1;26;1;3;17000
Mirzo Ulugbek;3;100;5;7;70000
Yashnobod;3;72;4;4;80000
Mirobod;2;62;9;9;46000
Mirobod;3;75;3;4;75000
Mirzo Ulugbek;1;35;4;4;29000
Mirzo Ulugbek;1;41;1;5;28000
Yakkasaroy;1;39;1;5;26700
Yunusobod;4;94;1;9;66000
Olmzor;3;70;4;4;37500
Mirzo Ulugbek;3;80;3;4;115000
Chilonzor;2;50;2;4;46000
Mirzo Ulugbek;4;90;2;4;123000
Yunusobod;5;254;1;8;285000
Mirzo Ulugbek;2;42;2;4;81000
Mirzo Ulugbek;3;90;4;7;55500
Mirobod;4;121;2;8;140000
Uchtepa;4;80;3;5;52000
Chilonzor;1;30;1;3;25000
Mirzo Ulugbek;3;70;3;4;100000
Mirzo Ulugbek;3;105;5;5;100000
Mirzo Ulugbek;3;72;4;5;67000
Mirobod;5;300;3;8;425000
Yunusobod;3;70;1;4;72500
Yakkasaroy;3;105;7;10;135000
Mirzo Ulugbek;2;55;4;4;60000
Chilonzor;3;72;2;4;54000
Mirzo Ulugbek;1;40;3;4;60000
Chilonzor;4;132;3;8;88308
Shayhontohur;3;68,41;4;9;60000
Chilonzor;3;97;4;8;64505
Mirzo Ulugbek;2;59;2;4;57500
Chilonzor;3;97;3;8;64505
Mirzo Ulugbek;2;62;9;9;56500
Chilonzor;3;97;7;8;67997
Yakkasaroy;2;46;3;5;46500
Yashnobod;1;45;2;5;26000
Yunusobod;5;140;7;7;77000
Yakkasaroy;1;39;5;5;26700
Shayhontohur;4;125;1;5;118000
Mirobod;2;43;4;4;20800
Yashnobod;3;72;8;9;64000
Shayhontohur;5;150;2;2;138000
Shayhontohur;2;75;4;7;47000
Chilonzor;3;97;7;8;67997
Yunusobod;1;42;3;4;48500
Yakkasaroy;5;116;3;9;88000
Chilonzor;3;97;2;8;66445
Shayhontohur;3;68,41;4;9;60000
Mirzo Ulugbek;2;43;5;5;49000
Chilonzor;4;132;1;8;96096
Chilonzor;4;132;1;8;96096
Chilonzor;3;97;1;8;72944
Mirobod;3;110;5;9;105000
Chilonzor;3;97;1;8;72944
Sergeli;4;96;8;9;46000
Chilonzor;3;97;1;8;72750
Yashnobod;1;37;2;8;13067
Chilonzor;3;97;8;8;59849
Chilonzor;3;97;8;8;59849
Uchtepa;2;57;1;4;40000
Mirzo Ulugbek;3;126;5;6;141922
Yunusobod;2;55;5;5;29500
Mirzo Ulugbek;2;57;5;5;45000
Chilonzor;3;97;8;8;59849
Chilonzor;3;97;5;8;61692
Yunusobod;3;68;3;4;63000
Chilonzor;1;24;3;3;20000
Mirzo Ulugbek;3;80;2;4;92000
Yunusobod;3;100;2;4;88000
Yunusobod;4;82;1;2;104000
Mirobod;2;65;2;4;85000
Yunusobod;4;88;4;4;78000
Yunusobod;4;90;4;5;150000
Yakkasaroy;4;130;1;5;236000
Sergeli;3;105,6;9;9;45474
Yakkasaroy;3;70;3;3;55000
Yakkasaroy;1;43;5;16;38500
Yakkasaroy;5;115;4;5;70500
Yashnobod;3;80;2;4;74000
Chilonzor;2;42;2;4;32500
Uchtepa;2;42;1;4;34000
Chilonzor;2;40;3;4;38500
Mirobod;3;83;7;9;65000
Uchtepa;3;115;6;9;80000
Yunusobod;4;97;2;9;80000
Chilonzor;6;120;1;4;84000
Mirobod;4;200;6;9;162000
Yashnobod;3;75;5;9;79000
Mirzo Ulugbek;3;76;2;5;57000
Chilonzor;3;54;4;4;37000
Shayhontohur;3;72;8;9;42500
Olmzor;1;40;5;5;23500
Olmzor;2;60;1;4;40000
Mirzo Ulugbek;2;63;4;9;55500
Mirobod;5;120;8;9;115000
Mirobod;4;100;2;16;98000
Sergeli;5;120;9;9;59000
Mirobod;3;105;7;7;95000
Mirobod;3;94;2;7;96000
Mirzo Ulugbek;3;75;4;9;66000
Yakkasaroy;2;83;5;7;77000
Mirobod;3;75;6;9;103000
Yakkasaroy;4;105;1;9;67000
Mirobod;2;40;1;1;23500
Mirzo Ulugbek;2;60;2;4;78000
Mirobod;1;38;2;9;38000
Yakkasaroy;5;215;8;9;165000
Yunusobod;3;105;3;4;69000
Mirobod;2;90;9;12;65000
Mirobod;3;75;9;9;56000
Mirobod;3;125;4;9;130000
Mirobod;2;75;3;9;91000
Mirobod;2;80;1;9;88000
Mirobod;3;75;9;9;80000
Yakkasaroy;3;80;11;16;48000
Mirobod;2;53;3;4;54000
Yashnobod;3;140;2;4;140000
Mirobod;5;120;13;16;115000
Yakkasaroy;2;70;1;9;56000
Yakkasaroy;4;150;4;16;64000
Yunusobod;4;86;4;4;63000
Yashnobod;3;93;2;13;33776
Yunusobod;4;110;3;9;88000
Yunusobod;1;65;2;4;75500
Yunusobod;2;51;3;4;50000
Yunusobod;2;60;2;9;44500
Chilonzor;3;95;7;7;40858
Mirzo Ulugbek;3;80;5;5;36000
Chilonzor;3;68;3;5;42000
Mirzo Ulugbek;3;86;3;4;93000
Mirzo Ulugbek;5;101;6;9;86000
Mirzo Ulugbek;2;60;1;5;71000
Yunusobod;1;40;2;4;62500
Yashnobod;3;70;2;5;47000
Yunusobod;3;125;5;9;110000
Yakkasaroy;1;44;2;9;27000
Yunusobod;2;60;9;9;49999
Yashnobod;4;94;5;9;65000
Yunusobod;4;90;2;4;78000
Yunusobod;3;74;4;4;64000
Mirzo Ulugbek;3;70;4;4;32500
Mirzo Ulugbek;4;100;3;4;88000
Mirzo Ulugbek;1;38,51;3;4;21000
Mirzo Ulugbek;2;50;4;4;26500
Yunusobod;4;86;2;4;74000
Yakkasaroy;5;116;3;9;88000
Mirzo Ulugbek;2;51;4;4;25500
Yakkasaroy;3;76;5;9;43500
Mirzo Ulugbek;1;34;4;4;20500
Mirzo Ulugbek;3;70;2;4;36000
Yangihayot;2;28;1;4;23000
Yakkasaroy;2;52;4;5;32500
Shayhontohur;3;72;2;9;58500
Mirzo Ulugbek;3;110;4;7;158000
Yashnobod;2;58;5;5;31000
Yakkasaroy;5;113;4;5;70000
Mirobod;2;50;5;6;60000
Yashnobod;2;62;7;9;33500
Sergeli;2;43;2;7;31000
Yunusobod;1;34;3;4;24500
Mirzo Ulugbek;3;80;7;8;70000
Yashnobod;3;75;4;9;53000
Mirobod;3;67;2;4;60000
Mirzo Ulugbek;1;35;3;5;32500
Mirzo Ulugbek;3;88;5;9;105000
Chilonzor;4;80;3;5;45000
Yunusobod;5;105;3;5;95000
Yakkasaroy;3;90;5;5;45000
Chilonzor;3;91;3;4;49000
Mirzo Ulugbek;4;95;7;9;50000
Chilonzor;1;24;3;3;20000
Mirobod;3;85;5;9;74000
Uchtepa;4;92;3;4;62000
Yakkasaroy;1;44;2;9;27000
Sergeli;2;62;2;9;37000
Mirobod;2;55;3;4;51000
Mirobod;2;62;3;9;53000
Chilonzor;3;67;4;4;35500
Uchtepa;2;64;3;5;38000
Mirobod;1;42;5;6;60000
Yashnobod;4;100;3;4;145000
Uchtepa;2;63;9;9;33000
Mirzo Ulugbek;1;40;3;3;32500
Mirzo Ulugbek;1;40;3;3;32500
Mirzo Ulugbek;1;18;4;4;12000
Chilonzor;4;100;4;9;95000
Mirzo Ulugbek;1;41;3;4;31000
Mirzo Ulugbek;1;39;1;4;26000
Mirzo Ulugbek;1;24;2;4;13500
Mirzo Ulugbek;1;33;3;5;25500
Mirzo Ulugbek;2;45;2;4;33505
Yakkasaroy;5;116;3;9;88000
Mirzo Ulugbek;2;60;1;5;46000
Mirobod;3;180;2;7;225000
Yakkasaroy;2;42;5;9;23500
Yakkasaroy;2;43;5;9;25500
Yakkasaroy;2;54;2;9;29500
Yakkasaroy;2;64;1;5;42000
Yakkasaroy;4;96;2;5;84000
Chilonzor;1;30;1;4;24500
Yakkasaroy;4;110;4;8;71800
Yakkasaroy;2;36;2;5;37000
Mirobod;3;100;3;7;130000
Sergeli;2;50;1;4;37000
Mirzo Ulugbek;2;65;5;5;37000
Chilonzor;3;88;6;8;55000
Mirzo Ulugbek;2;64;5;5;34000
Mirobod;4;100;7;9;105000
Mirzo Ulugbek;3;69;4;4;47000
Mirzo Ulugbek;2;59;3;5;44000
Mirzo Ulugbek;3;62;3;4;37000
Yakkasaroy;2;36;2;4;29500
Yakkasaroy;2;51;4;4;33500
Mirobod;1;38;2;9;37000
Yakkasaroy;2;59;1;2;33500
Yakkasaroy;2;42;2;2;34500
Yakkasaroy;2;45;1;2;40000
Mirobod;2;52;8;8;87000
Yakkasaroy;2;53;1;9;36500
Mirobod;4;120;2;8;145000
Yakkasaroy;3;106;4;6;138000
Yakkasaroy;2;42;1;2;37000
Yakkasaroy;4;100;7;9;60000
Yakkasaroy;1;40;2;5;27500
Mirobod;4;135;5;5;215000
Mirobod;3;105;2;8;172000
Yunusobod;3;70;4;4;64500
Mirobod;4;98;1;4;64000
Yakkasaroy;2;56;4;4;37000
Mirobod;2;50;3;5;38500
Mirzo Ulugbek;3;74;8;9;50000
Yakkasaroy;4;131;7;8;85000
Mirzo Ulugbek;2;60;3;9;53000
Mirobod;4;147;3;12;136500
Yunusobod;1;42;4;4;25000
Mirzo Ulugbek;3;65;4;5;41500
Uchtepa;1;42;4;5;25500
Mirzo Ulugbek;3;74;2;9;58000
Uchtepa;2;58;2;5;33800
Mirzo Ulugbek;2;50;1;4;36500
Chilonzor;3;90;5;9;39500
Mirobod;2;62;9;9;57000
Mirzo Ulugbek;2;64;1;4;65000
Chilonzor;3;67;4;4;35500
Mirobod;4;120;1;4;135000
Yakkasaroy;2;54;1;2;37000
Yashnobod;3;63;4;5;43500
Yakkasaroy;2;55;4;5;37000
Yakkasaroy;2;60;8;9;37000
Yakkasaroy;2;48;1;4;37500
Yunusobod;2;60;2;4;75000
Mirzo Ulugbek;2;47;3;9;46500
Mirzo Ulugbek;2;40;2;5;40000
Yunusobod;2;55;5;5;31500
Mirzo Ulugbek;2;50;2;4;32000
Mirzo Ulugbek;2;55;4;4;32000
Mirzo Ulugbek;2;60;2;4;42000
Mirzo Ulugbek;1;24;3;4;15000
Yunusobod;3;81;4;4;61500
Mirzo Ulugbek;2;65;3;9;60000
Yakkasaroy;2;52;9;12;38500
Olmzor;3;113;3;4;80000
Mirzo Ulugbek;2;60;1;4;39000
Chilonzor;2;51;1;4;36500
Uchtepa;2;50;1;4;36500
Mirobod;4;130;3;9;105000
Mirzo Ulugbek;2;55;5;5;33000
Mirobod;3;113;5;5;65000
Chilonzor;2;50;5;5;42000
Chilonzor;2;51;1;4;39500
Chilonzor;5;100;2;4;68000
Uchtepa;2;54;3;5;35000
Mirzo Ulugbek;3;75;3;4;67000
Mirobod;5;235;6;7;375000
Yakkasaroy;2;48;1;4;39000
Yunusobod;3;125;3;9;82000
Yakkasaroy;2;53;9;12;39000
Yunusobod;2;60;2;9;55000
Yakkasaroy;2;53;5;8;43000
Yunusobod;4;160;3;9;105000
Yakkasaroy;2;42;2;2;39000
Yakkasaroy;2;40;1;4;40000
Yakkasaroy;2;55;3;9;40000
Mirobod;2;50;4;4;47000
Yakkasaroy;2;50;2;2;41000
Chilonzor;1;30;2;4;25700
Mirzo Ulugbek;1;26;3;4;22500
Sergeli;2;52;2;5;36500
Mirzo Ulugbek;3;80;1;4;110000
Mirzo Ulugbek;1;40;5;5;26500
Mirzo Ulugbek;1;40;4;4;25000
Shayhontohur;4;100;5;9;76000
Mirzo Ulugbek;2;50;3;4;42000
Yakkasaroy;2;52;4;4;41000
Mirobod;2;65;2;4;66000
Mirzo Ulugbek;4;140;4;5;105000
Yakkasaroy;2;48;2;3;42000
Mirobod;1;45;1;4;42000
Shayhontohur;2;74;8;9;65000
Chilonzor;2;55;2;2;44000
Mirzo Ulugbek;1;40;1;4;24000
Mirzo Ulugbek;1;36;2;4;25000
Mirzo Ulugbek;1;18;4;4;12000
Mirzo Ulugbek;1;31;2;3;20000
Yunusobod;3;72;3;4;75000
Yunusobod;3;75;1;4;107000
Yunusobod;1;43;7;9;38000
Yunusobod;4;279;1;3;150000
Yashnobod;1;52;4;5;57000
Yakkasaroy;2;50;7;8;45000
Yakkasaroy;2;53;4;5;46000
Mirobod;3;85;2;5;78000
Yakkasaroy;2;55;2;4;146000
Mirobod;3;80;3;5;72000
Mirobod;3;75;4;5;55000
Yunusobod;1;43;1;4;47500
Yunusobod;3;75;1;4;95000
Mirzo Ulugbek;3;110;5;5;105000
Yashnobod;3;86;4;9;89000
Yakkasaroy;2;69;4;9;47000
Olmzor;3;70;6;7;57000
Mirzo Ulugbek;2;60;3;5;45000
Yashnobod;3;80;1;5;78000
Mirobod;4;100;4;4;68000
Yakkasaroy;2;68;9;9;47000
Yakkasaroy;2;66;2;9;47000
Mirobod;5;110;8;9;83000
Yashnobod;3;75;6;9;82000
Yakkasaroy;2;50;2;3;47000
Yakkasaroy;2;56;4;4;47000
Mirobod;4;145;5;9;120000
Yakkasaroy;2;60;5;9;48000
Yakkasaroy;2;51;4;4;49500
Yakkasaroy;2;65;2;8;75000
Yakkasaroy;2;51;5;5;51000
Mirzo Ulugbek;3;75;1;4;90000
Mirobod;3;80;4;4;88000
Mirobod;2;65;9;9;55000
Yashnobod;2;65;5;5;68000
Yunusobod;3;75;4;4;55000
Yunusobod;1;42;1;4;50000
Mirobod;1;42;1;9;46000
Mirobod;2;68;5;5;44000
Mirobod;4;120;1;2;130000
Yashnobod;2;65;1;5;71000
Yashnobod;4;95;4;5;91000
Yashnobod;4;100;1;5;98000
Mirobod;2;50;4;4;47000
Yakkasaroy;1;30;4;5;33500
Yakkasaroy;2;50;2;5;52000
Mirobod;4;120;7;8;95000
Yashnobod;2;65;5;5;68000
Yakkasaroy;3;70;2;7;75000
Yashnobod;2;52;1;4;40000
Yashnobod;3;80;4;5;90000
Mirzo Ulugbek;3;75;6;7;69000
Yunusobod;3;131;4;8;125000
Mirzo Ulugbek;2;62;2;4;73000
Yashnobod;3;86;4;9;89000
Yakkasaroy;2;61;1;5;54000
Mirzo Ulugbek;2;50;3;4;33500
Mirobod;3;130;2;8;110000
Mirzo Ulugbek;2;64;5;5;34000
Uchtepa;4;90;5;5;42000
Mirzo Ulugbek;1;33;4;4;23000
Mirzo Ulugbek;2;51;3;4;35000
Mirzo Ulugbek;1;19;4;4;20500
Mirzo Ulugbek;2;38;2;4;35500
Mirzo Ulugbek;1;30;5;5;23500
Mirzo Ulugbek;2;52;1;2;31000
Yakkasaroy;2;52;1;3;54000
Yakkasaroy;2;57;3;4;54998
Yashnobod;2;58;4;9;39000
Mirzo Ulugbek;5;100;4;4;48000
Mirzo Ulugbek;2;60;6;9;38500
Mirzo Ulugbek;2;52;5;5;32000
Yakkasaroy;1;39;1;5;26700
Shayhontohur;4;93;9;9;56000
Yunusobod;2;63;3;4;45000
Chilonzor;1;27;3;3;19500
Yunusobod;3;70;3;4;57000
Mirzo Ulugbek;2;63;4;9;46000
Mirzo Ulugbek;1;23;2;3;17500
Yakkasaroy;4;210;5;5;250000
Mirzo Ulugbek;3;75;3;7;65000
Mirzo Ulugbek;3;80;1;4;92000
Yunusobod;1;28;3;4;26500
Sergeli;3;90;3;9;45000
Mirzo Ulugbek;2;50;2;4;48000
Yakkasaroy;3;79;8;9;74000
Mirobod;5;110;5;9;135000
Mirobod;3;76;7;16;63000
Mirobod;4;110;9;9;85000
Yashnobod;3;87;8;9;43000
Sergeli;5;108;4;5;46500
Mirobod;4;150;6;9;145000
Yakkasaroy;2;65;2;9;48500
Chilonzor;2;43;2;4;36000
Mirzo Ulugbek;6;347;3;9;240000
Yakkasaroy;5;280;1;8;280000
Yunusobod;1;40;3;5;30000
Mirobod;3;100;7;9;90000
Mirobod;3;105;7;8;93000
Shayhontohur;1;43;3;4;38500
Olmzor;2;53;2;4;23500
Mirobod;3;80;2;4;80000
Sergeli;2;59;2;7;25000
Yakkasaroy;3;75;5;9;47000
Olmzor;1;42;4;5;22800
Mirzo Ulugbek;3;83;5;8;110000
Mirobod;3;80;8;9;53000
Mirobod;2;60;8;9;32000
Mirobod;2;60;9;9;35000
Yunusobod;1;25;3;4;23501
Mirobod;2;60;5;8;42000
Sergeli;2;73;3;7;35200
Yakkasaroy;4;190;7;8;200000
Yakkasaroy;2;100;8;8;120000
Shayhontohur;2;46;5;9;24500
Yunusobod;3;60;3;4;33200
Mirzo Ulugbek;3;80;7;9;90000
Olmzor;3;70;2;4;55000
Yakkasaroy;3;90;3;4;120000
Mirzo Ulugbek;3;70;9;9;45000
Yakkasaroy;3;80;1;10;95000
Yakkasaroy;3;80;4;4;80000
Mirobod;3;103;4;8;103000
Mirobod;2;63;6;16;76000
Yakkasaroy;1;39;2;5;26500
Yakkasaroy;2;64;1;5;42000
Yakkasaroy;3;67;7;9;47000
Yakkasaroy;3;67;4;4;52000
Yakkasaroy;4;105;1;4;135000
Shayhontohur;3;107;4;4;75000
Yakkasaroy;6;191;1;4;240000
Yashnobod;2;60;4;8;55000
Mirzo Ulugbek;2;52;2;4;40500
Yunusobod;3;67;4;5;46000
Yashnobod;3;70;2;9;70000
Mirzo Ulugbek;3;65;9;9;45500
Mirzo Ulugbek;2;48;2;5;39000
Mirzo Ulugbek;3;70;4;5;61000
Sergeli;3;75;1;7;60000
Yashnobod;3;90;3;8;192000
Sergeli;6;150;1;7;120000
Yashnobod;3;80;4;9;65000
Shayhontohur;3;92;5;8;123000
Olmzor;4;96;4;4;51999
Yunusobod;4;80;3;4;95000
Yunusobod;2;50;7;9;39000
Mirzo Ulugbek;2;52;2;4;40500
Shayhontohur;3;96;4;8;110000
Chilonzor;2;52;3;4;36000
Yakkasaroy;4;140;9;12;121861
Mirzo Ulugbek;4;135;3;4;129000
Shayhontohur;3;76;5;5;60000
Chilonzor;3;153;2;9;112000
Chilonzor;4;107;4;4;84000
Uchtepa;1;41;1;5;35000
Olmzor;4;210;4;9;85000
Yashnobod;3;79;4;9;62000
Uchtepa;1;44;5;5;24000
Uchtepa;4;96;8;9;67000
Uchtepa;3;72;5;5;45500
Uchtepa;2;45;1;4;35000
Yakkasaroy;3;110;3;6;285000
Mirobod;3;135;5;5;160000
Mirzo Ulugbek;3;75;3;4;72000
Mirobod;4;125;5;6;290000
Mirobod;2;45;5;6;56000
Yakkasaroy;2;52;1;3;54000
Yakkasaroy;2;57;3;4;55000
Yakkasaroy;2;57;2;3;55000
Mirobod;2;48;3;4;34000
Mirzo Ulugbek;1;46;2;4;60000
Mirzo Ulugbek;3;118;2;7;72000
Yunusobod;3;58;4;4;68000
Uchtepa;4;82;4;5;47500
Mirobod;2;62;9;12;53000
Yakkasaroy;2;51;5;5;56000
Yakkasaroy;2;58;1;4;57997
Yakkasaroy;2;50;4;4;59000
Mirobod;3;105;5;9;110000
Uchtepa;2;65;7;9;36500
Yakkasaroy;4;96;3;9;63000
Shayhontohur;4;90;1;4;105000
Mirobod;2;60;3;9;48000
Yunusobod;3;70;2;5;47500
Yakkasaroy;2;60;2;3;60000
Yakkasaroy;2;72;7;9;64000
Mirobod;3;75;2;9;74000
Yakkasaroy;2;54;3;4;65000
Shayhontohur;1;30;1;4;29000
Yakkasaroy;2;59;2;4;65000
Mirzo Ulugbek;1;33;1;4;29000
Yakkasaroy;2;61;2;3;67000
Mirzo Ulugbek;4;214;2;8;380000
Yakkasaroy;2;55;4;5;67000
Mirzo Ulugbek;2;52;2;4;33000
Yakkasaroy;2;54;2;4;69000
Chilonzor;3;70;3;4;48000
Uchtepa;4;100;6;9;60000
Uchtepa;3;65;1;4;46600
Chilonzor;3;70;3;3;40000
Shayhontohur;3;82;8;9;46500
Yakkasaroy;3;189;1;4;142500
Chilonzor;2;54;3;4;36000
Shayhontohur;3;74;4;4;46500
Mirzo Ulugbek;4;140;5;8;295000
Mirzo Ulugbek;3;71;4;4;60000
Yakkasaroy;2;63;4;4;72500
Uchtepa;1;42,16;1;4;29000
Yunusobod;2;54;2;4;38000
Chilonzor;2;54;3;5;40000
Yunusobod;3;70;1;9;69000
Yakkasaroy;4;90;3;4;90000
Mirzo Ulugbek;3;75;4;9;67000
Shayhontohur;2;68;9;9;30000
Shayhontohur;2;63;9;9;30000
Yakkasaroy;2;58;2;5;60000
Yakkasaroy;2;60;5;8;74500
Yakkasaroy;2;77;4;4;87500
Mirzo Ulugbek;2;56;5;5;47000
Olmzor;4;80;1;4;53500
Chilonzor;3;72;8;9;40000
Chilonzor;3;90;3;4;58000
Mirzo Ulugbek;2;60;8;9;48500
Mirobod;2;60;8;9;48500
Mirzo Ulugbek;2;80;6;6;70000
Mirzo Ulugbek;3;74;4;9;55000
Mirobod;2;52;4;4;45000
Mirzo Ulugbek;2;55;4;4;60000
Mirobod;2;66;2;4;72000
Mirobod;2;52;2;4;54000
Mirzo Ulugbek;2;56;2;4;62000
Mirzo Ulugbek;2;65;2;3;67998
Mirzo Ulugbek;2;65;2;4;62000
Mirzo Ulugbek;2;60;1;5;70000
Mirzo Ulugbek;1;40;5;9;50000
Mirzo Ulugbek;1;50;5;9;56000
Yunusobod;1;40;4;4;40000
Yunusobod;2;60;4;4;65000
Mirzo Ulugbek;3;69;2;5;54000
Chilonzor;3;67;3;4;57000
Yashnobod;2;104;7;7;130000
Olmzor;3;45;8;9;50000
Uchtepa;2;47;3;4;34500
Shayhontohur;3;82;3;3;67000
Olmzor;2;56;3;5;32000
Chilonzor;3;70;8;9;47400
Yakkasaroy;3;52;4;4;54000
Uchtepa;2;40;4;5;31000
Mirobod;3;75;7;9;90000
Uchtepa;2;52;1;4;36500
Mirobod;2;48;3;5;42000
Mirzo Ulugbek;3;83;3;4;90999
Mirzo Ulugbek;3;84;3;4;107000
Mirzo Ulugbek;3;75;3;4;69000
Yunusobod;3;130;2;9;220000
Yunusobod;3;112;2;9;130000
Yunusobod;3;73;2;9;110000
Mirobod;3;74;2;9;93000
Yunusobod;3;100;2;4;89000
Mirzo Ulugbek;3;84;2;4;91998
Yunusobod;3;70;1;4;50000
Yakkasaroy;3;75;1;4;73000
Yunusobod;2;54;9;9;50000
Yashnobod;4;96;3;5;93000
Yunusobod;4;178;7;8;250000
Chilonzor;2;49;1;4;34500
Uchtepa;1;36;4;7;32000
Uchtepa;3;62;2;4;42200
Yashnobod;2;46;2;4;28500
Mirzo Ulugbek;4;85;2;4;75000
Chilonzor;2;52;2;4;37000
Olmzor;3;70;9;9;41000
Chilonzor;2;42;3;4;37000
Chilonzor;3;68;4;4;44000
