Gap,Class
Ba’zan odamlar o‘zlariga zarar yetkazmaslik uchun ehtiyotkorlik bilan qarorlar qabul qilishadi.,0
"O‘zgarishlar, ba’zida insonni yangi yo‘llarga olib boradi, ammo ularni qabul qilish oson emas.",0
"Har bir inson o‘zining xatolarini tushunib, ularni tuzata olish uchun vaqt sarflaydi",0
Bobur o‘zining jasorati va aql-idroki bilan o‘z davrining eng mashhur hukmdorlaridan biriga aylandi.,0
Boburning ko‘p janglardagi muvaffaqiyatlari uning xarizmatik liderlik qobiliyatini namoyon etdi.,1
"U o‘zining shaxsiy tajribalarini yozgan holda, kelajak avlodlarga katta saboqlar berdi.",1
"Bobur o‘ziga xos dunyoqarashi bilan nafaqat o‘z zamonini, balki keyingi davrlarni ham ta’sirlantirdi.",1
Bobur har bir jangda o‘z xalqining manfaatlarini birinchi o‘ringa qo‘ydi.,1
U o‘zining hikmatli qarorlari bilan uzoq muddatli barqarorlikni ta’minladi.,1
"Bobur o‘zining o‘tmishdagi xatolaridan saboq olgan holda, yanada aqlli qarorlar qabul qildi.",1
Boburning o‘zi yozgan asarida insoniyatga oid qimmatli fikrlarni ifodaladi.,1
Bobur har doim o‘zining madaniyat va ilm-fanga bo‘lgan hurmatini yuqori baholadi.,1
"U shaxsiy maqsadlaridan ko‘ra, xalqining farovonligini birinchi o‘ringa qo‘ydi.",1
Bobur o‘zining harbiy strategiyasi va taktikasi bilan o‘z davrining eng buyuk sarkardalaridan bo‘ldi.,1
U o‘zining yurtida barqarorlikni o‘rnatish uchun kechayu kunduz mehnat qilgan.,1
Bobur sodiq va kuchli ittifoqlar o‘rnatish orqali muvaffaqiyatga erishdi.,1
U o‘zining hukmronligi ostida tinchlikni ta’minladi va iqtisodiy o‘sish uchun imkoniyat yaratdi.,1
"Bobur xalqining ehtiyojlarini tushunib, ularga yordam berish uchun ko‘p ishladi.",1
U ilm-fan va san’atsiz hokimiyatni befoyda deb bildi va madaniyatni rivojlantirishga alohida e’tibor berdi.,1
"Bobur o‘zining shaxsiy hayotida ham, davlat ishlarida ham adolatni yuqori baholadi.",1
U o‘zining harbiy yurishlarini maqsadga muvofiq va puxta rejalashtirib amalga oshirdi.,1
"Bobur o‘z asarida ko‘plab qadriyatlarni, shu jumladan muhabbat va o‘zgalarga hurmatni tarbiyaladi.",1
"Bobur o‘zining hukmronligini mustahkamlash uchun nafaqat kuch ishlatgan, balki diplomatiyaga ham murojaat qilgan.",1
U o‘z davrining ilmi va san’atiga katta hissa qo‘shdi.,1
"Bobur janglarda g‘alaba qozonishdan tashqari, raqiblariga hurmat bilan munosabatda bo‘lishni o‘rgandi.",1
U o‘zining sayohatlarida boshqa xalqlar bilan madaniy almashuvlarni rag‘batlantirdi.,1
Bobur hukmdor sifatida doimo o‘z xalqining taraqqiyotini birinchi o‘ringa qo‘ydi.,1
"Bobur o‘zining dastlabki yurtini mustahkamlashdan so‘ng, yangi erlarni zabt etishga muvaffaq bo‘ldi.",1
U o‘zining ilm-fan va san’atlarga bo‘lgan qiziqishini butun dunyoga ko‘rsatdi.,1
Bobur har doim o‘zining aql-idroki va fikrlarini shakllantirishda erkin bo‘lgan.,1
"U o‘zining hukmronligi davrida fan, adabiyot va san’atni rivojlantirish uchun barcha sharoitlarni yaratdi.",1
Bobur xalqining orzu-umidlarini amalga oshirish uchun ko‘p ishladi.,1
U janglarda qo‘lga kiritgan yutug‘ini tinchlik o‘rnatish va madaniyatni rivojlantirishga yo‘naltirdi.,1
Bobur yosh avlodga to‘g‘ri yo‘lni ko‘rsatish uchun o‘zining bilimlarini o‘rtoqlashdi.,1
U eng qiyin vaziyatlarda ham o‘zining jasorati va matonati bilan xalqini rag‘batlantirdi.,1
Bobur o‘zining hukmronligi ostida zamonaviy ilm-fan va madaniyatni rivojlantirishga katta e’tibor berdi.,1
Bobur barcha raqiblariga nisbatan o‘zining adolatliligini va halolligini ko‘rsatdi.,1
U o‘z xalqining erkinligini va o‘z-o‘zini boshqarish huquqini himoya qildi.,1
Bobur janglaridan so‘ng ko‘plab yirik qurilish ishlari amalga oshirildi.,1
"U o‘zining tajribalaridan o‘rganib, kelajak uchun mukammal rejalashtirishni amalga oshirdi.",1
Bobur janglarda o‘zining rahbarlik qobiliyatini ko‘rsatgan birinchi hukmdorlardan edi.,1
U o‘zining harbiy yurishlarini va strategiyalarini samarali amalga oshirdi.,1
Bobur yangi yerlarda o‘zining zamonaviy qarashlarini joriy qilishga muvaffaq bo‘ldi.,1
U madaniy rivojlanishning asosi sifatida ilm-fan va adabiyotga katta e’tibor berdi.,1
Bobur shaxsiy jihatdan hurmatga sazovor bo‘lgan va xalqiga xizmat qilishda chin dildan ishtiyoqli edi.,1
U o‘zining maqomida tinchlik o‘rnatish uchun doimo harakat qildi.,1
Bobur yurtni himoya qilishda shaxsan o‘z oldiga katta mas’uliyatni qo‘ydi.,1
U har doim adolat va halollikni jamiyatdagi asosiy qadriyat sifatida tan oldi.,1
Bobur o‘zining hukmronlik davrida xalqni birlashtirish va ularning farovonligini ta’minlash uchun ko‘p ishlarni amalga oshirdi.,1
"U san’at va ilmga katta e’tibor berib, jahon madaniyatiga katta hissa qo‘shdi.",1
Bobur o‘zining yurtini rivojlantirish uchun o‘z bilimlarini va tajribalarini boshqalarga taqdim etdi.,1
"U o‘zining axloqiy qadriyatlarini, shuningdek, insoniylikni doimo yuqori baholagan.",1
Bobur har doim har bir qarorni puxta o‘ylab qabul qilgan va noaniqlikdan qochgan.,1
U o‘zining harbiy yurishlarida barcha resurslarni samarali va maqsadga muvofiq ishlatgan.,1
Bobur xalqining madaniy va iqtisodiy yuksalishi uchun alohida g‘amxo‘rlik ko‘rsatgan.,1
U o‘zining kuchli rahbarlik fazilatlarini o‘zgalarga o‘rnak sifatida ko‘rsatdi.,1
Bobur o‘zining harbiy va siyosiy muvaffaqiyatlari bilan yurtni dunyo miqyosida tanitdi.,1
"U ko‘plab g‘alabalarga erishgan bo‘lsada, doimo odamlar bilan muloyim va hurmatli bo‘lib qolgan.",1
Bobur janglarda qo‘lga kiritgan g‘alabalari natijasida yurtida tinchlikni o‘rnatdi.,1
"Bobur, yurtini o‘zining strategik fikrlash qobiliyati bilan boshqardi va uning barqarorligini ta’minladi.",1
"U hukmronlikni mustahkamlash bilan birga, san’at va ilm-fanni rivojlantirishni ham o‘z oldiga maqsad qilib qo‘ydi.",1
Bobur xalqining turmush darajasini yaxshilashga harakat qildi.,1
U o‘zining asarlarida haqiqiy va chin dildan yozgan.,1
Bobur o‘zining tarixiy va madaniy qadriyatlarini yuqori baholagan va doimo ularga sodiq qoldi.,1
"U adolatli va halol bo‘lib, boshqalarga doimo yaxshi niyatda bo‘ldi.",1
Bobur o‘zining qudratli davlatini yanada mustahkamlash uchun ko‘p mehnat qildi.,1
Bobur har doim yurtining farovonligi uchun g‘amxo‘rlik ko‘rsatgan va o‘zining xalqiga samimiy xizmat qilgan.,1
"U shaxsiy sifatlari bilan o‘rnak bo‘lib, xalqni ma’naviy jihatdan ham rivojlantirishga intildi.",1
Bobur har bir jangda o‘zining strategik aql-zakovati va jasorati bilan ajralib turdi.,1
"U janglarda faqat g‘alaba qozonib qolmay, o‘z xalqining manfaatlarini ham himoya qildi.",1
Bobur ilm-fan va san’atga bo‘lgan qiziqishi bilan o‘z zamonasining madaniyatini rivojlantirishga katta hissa qo‘shdi.,1
U har doim o‘z xalqining tinchligini ta’minlash uchun barcha imkoniyatlardan foydalandi.,1
Bobur o‘zining hokimiyatida adolatni ustuvor qo‘ygan va barcha fuqarolarni teng huquqli deb bilgan.,1
"U o‘zining yozgan asarlari orqali nafaqat o‘z zamonini, balki kelajak avlodlarni ham tarbiyalashga yordam berdi.",1
"Bobur jangovar qobiliyati bilan birga, diplomat sifatida ham muvaffaqiyatga erishdi.",1
U yurtini mustahkamlash uchun yirik ijtimoiy va iqtisodiy islohotlarni amalga oshirdi.,1
Bobur har doim o‘zining bilimi va tajribasini boshqalarga tarqatishga intildi.,1
"U o‘zining harbiy yurishlarida ko‘p qiyinchiliklarga duch kelsa-da, har doim qalbini qo‘llab-quvvatladi.",1
Bobur o‘zining hukmronligini davom ettirgan davrda ilm-fanning rivojlanishiga katta imkoniyat yaratdi.,1
"U ko‘p qiyinchiliklarga qarshi kurashib, o‘z xalqini barqarorlik va farovonlikka yetkazdi.",1
Bobur o‘zining harbiy muvaffaqiyatlarini madaniy yuksalishga aylantirdi.,1
"U xalqining ehtiyojlarini tushunib, har bir qarorini ularning manfaatlariga moslashtirishga harakat qildi.",1
Bobur doimo xalqini ruhiy jihatdan qo‘llab-quvvatladi va ularga yangi imkoniyatlar yaratdi.,1
"U o‘zining amaliy va harbiy ishlarida adolatni, halollikni va rahm-shafqatni yo‘l qo‘ydi.",1
Bobur o‘zining barcha qarorlarini xalqining farovonligini hisobga olgan holda qabul qildi.,1
U janglar va yurtni boshqarishda o‘zining strategik va tizimli fikrlash qobiliyatini muvaffaqiyatli qo‘lladi.,1
Bobur barcha qarorlarida halollik va adolatni asosiy qadriyat sifatida ko‘rdi.,1
"U o‘zining harbiy yurishlarida faqat kuch ishlatib qolmay, raqiblariga nisbatan hurmatni ham saqladi.",1
Bobur barcha ziddiyatlarda muloqot va diplomatiyani ham qo‘llab-quvvatladi.,1
U o‘zining siyosiy va harbiy muvaffaqiyatlarini barcha xalqlarni birlashtirish uchun sarfladi.,1
Bobur o‘zining bilim va san’atga bo‘lgan e’tiborini boshqalarga ham tarqatdi.,1
"Bobur nafaqat jasur sarkarda, balki insofli va mehribon inson sifatida ham tanildi.",1
"U ilmiy ishlarga katta e’tibor berib, ko‘plab ilmiy maktablarni tashkil etdi.",1
Bobur o‘zining tajribalari orqali yangi zamon hukmdorlari uchun ajoyib o‘rnak bo‘ldi.,1
U har doim ilm-fan va madaniyatga katta e’tibor qaratdi va bu orqali xalqini rivojlantirdi.,1
"Bobur o‘zining shaxsiy hayotida ham saxovatli, xushmuomalali va adolatli bo‘lib, o‘ziga ham, boshqalarga ham e’tibor qaratdi.",1
Bobur o‘zining yurti va xalqining farovonligi uchun o‘zini fido qilgan rahbar edi.,1
U har doim xalqining ehtiyojlarini va orzularini tushunishga intildi.,1
"Bobur o‘zining hukmronligi ostida ilm-fan, san’at va madaniyatni rivojlantirishga alohida e’tibor berdi.",1
U o‘zining yurti va xalqining manfaatlari uchun eng yaxshi qarorlarni qabul qildi.,1
Bobur o‘zining kuchli rahbarlik fazilatlari bilan xalqini o‘ziga tayanishga undadi.,1
"U o‘zining xatolaridan saboq olib, har doim yanada yaxshilanishga intildi.",1
Bobur o‘zining adolatli siyosati bilan xalqining hurmatini qozondi va o‘z davrining eng buyuk hukmdorlaridan biriga aylandi.,1
Bobur ba’zan o‘zining harbiy yurishlari tufayli ko‘plab aholi yo‘qotishlariga sabab bo‘ldi.,1
U o‘zining hukmronligi ostida ba’zan qat’iy va shafqatsiz qarorlar qabul qildi.,-1
"Bobur ko‘p janglarda qishloq va shaharlarni talon-taroj qilib, ko‘plab ayollarga va bolalarga zarar yetkazdi.",-1
U ba’zan dushmanlar bilan jangda o‘zining ehtiyotkorligini yo‘qotgan va juda ko‘p qurbonlar bergan.,-1
Bobur ko‘plab janglarda o‘zining hukmronligini mustahkamlash uchun amaliyotda shafqatsiz usullardan foydalangan.,-1
"Bobur o‘zining faoliyati davomida ko‘plab o‘qituvchilarni, olimlarni va ilmiy ishlarni e’tiborsiz qoldirdi.",-1
"U o‘zining harbiy yurishlari natijasida shaharlarni vayron qilib, ko‘plab mas’uliyatlarni unutgan.",-1
Bobur ko‘plab mamlakatlar bilan diplomatik aloqalar o‘rnatishda ba’zan maqsadga erisha olmadi.,-1
O‘zining shaxsiy manfaatlari uchun Bobur ba’zan xalqning ehtiyojlarini e’tiborsiz qoldirdi.,-1
"Bobur ko‘plab joylarda qat’iy, beqiyos va samarasiz hukmronlikni davom ettirdi.",-1
Ba’zan Bobur o‘zining shaxsiy ehtiyojlarini davlatning umumiy manfaatlaridan ustun qo‘ydi.,-1
"Boburning hukmronligi ostida, ba’zan islohotlar amalga oshirilmagan va yangilanishlar sekin bo‘lgan.",-1
"U ba’zan o‘zining ichki nizolarini hal etishda kuch ishlatib, tinchlik o‘rniga vaziyatni yanada murakkablashtirdi.",-1
Bobur o‘zining harbiy yurishlarida ko‘plab dushmanlarni engish uchun kerakli diplomatik tashabbuslarni amalga oshirmadi.,-1
"Ba’zan Bobur juda qattiq hukmronlik qilib, xalqning talablariga moslashishdan yiroq bo‘ldi.",-1
Bobur ba’zan o‘zining maqsadlariga erishish uchun insoniyatni qurbon qildi.,-1
"Boburning boshqaruvi ostida, ko‘p aholi qashshoqlik va nohaqlikdan aziyat chekdi.",-1
Bobur ko‘plab yirik janglarda noto‘g‘ri strategiya tanladi va katta yo‘qotishlarga uchradi.,-1
Bobur o‘zining shaxsiy ambitsiyalari uchun ko‘plab oddiy odamlarning hayotini o‘zgartirdi.,-1
"U ba’zan juda qattiqqo‘l bo‘lib, xalqning fikrini hisobga olishni unutdi.",-1
"Bobur o‘zining harbiy yurishlarida ko‘p odamlarni asir qilib, ularning hayotini xavf ostiga qo‘ydi.",-1
Bobur ba’zan davlatning ichki ishlarida noaniqlikni yuzaga keltirdi.,-1
O‘zining hukmronlik davrida Bobur ko‘p hollarda siyosiy partiyalar va ittifoqlarni to‘g‘ri boshqara olmadi.,-1
Bobur ba’zan harbiy yurishlarda xalqning o‘zini ifoda etish erkinligini cheklab qo‘ydi.,-1
U ba’zan ko‘plab janglarda foydasiz va zararli yo‘llar bilan o‘z maqsadlariga erishishga harakat qildi.,-1
"Bobur o‘zining hukmronligini mustahkamlash uchun, boshqa xalqlarni bezovta qilib, ko‘plab janglar olib bordi.",-1
Bobur o‘zining ichki siyosiy qarorlarida ba’zan xalqni noxush holatlarga olib keldi.,-1
Bobur o‘zining siyosiy va iqtisodiy islohotlarini amalga oshirishda ko‘pincha samarasiz bo‘ldi.,-1
U ba’zan boshqaruvi ostida ko‘plab iqtisodiy va ijtimoiy inqirozlarni yuzaga keltirdi.,-1
"Bobur o‘zining hukmronligi ostida ko‘plab soliq tizimlarini, o‘zgarishlarga duchor qilmasdan, davom ettirdi.",-1
Bobur o‘zining raqiblarini jazolashda ba’zan juda shafqatsiz bo‘ldi.,-1
Ba’zan Bobur o‘zining siyosiy qarorlarini amalga oshirishda noto‘g‘ri yo‘llardan foydalandi.,-1
Bobur o‘zining hukmronlik davrida ko‘plab nohaqliklarni amalga oshirdi.,-1
"U o‘zining janglari va yurishlarida ba’zan bexosdan, o‘zining haqiqiy imkoniyatlarini chekladi.",-1
Bobur ba’zan o‘zining siyosiy va harbiy muvaffaqiyatlari uchun xalqni qurbon qildi.,-1
"Bobur o‘zining siyosatida ba’zan shaxsiy manfaatlaridan ko‘ra, xalqning manfaatlarini unutgan.",-1
"Bobur ko‘p hollarda o‘zining strategiyasini noto‘g‘ri tanladi va shuningdek, ko‘plab janglarda zarar ko‘rdi.",-1
Bobur o‘zining siyosiy faoliyatida doimo yangi ziddiyatlar va tartibsizliklar yaratdi.,-1
Ba’zan Bobur o‘zining hukmronligi ostida xatolarga yo‘l qo‘ydi va bu jamiyatda tartibsizliklarga olib keldi.,-1
"Bobur o‘zining janglarida ko‘plab qurolli kurashlardan, noto‘g‘ri va ko‘plab odamlarni yo‘qotdi.",-1
U ko‘p hollarda diplomatik yondoshuvni unutdi va harbiy kuchdan foydalandi.,-1
"Bobur ko‘p janglarda zaif holatga tushib, o‘zining eng yaxshi imkoniyatlarini yo‘qotdi.",-1
Ba’zan Bobur o‘zining harbiy strategiyasida ortiqcha ishonch bilan qattiq qarorlar qabul qildi.,-1
Bobur o‘zining harbiy yurishlarida ko‘plab tinch aholi va boshqa davlatlarga zarar yetkazdi.,-1
Ba’zan Bobur o‘zining siyosiy qarorlarida har doim o‘zining ehtiyojlarini xalqning ehtiyojlaridan ustun qo‘ydi.,-1
Bobur ba’zan o‘zining harbiy faoliyatida noto‘g‘ri yo‘llar bilan qarorlar qabul qildi.,-1
U o‘zining faoliyatida ko‘p marta iqtisodiy inqirozlarni keltirib chiqardi.,-1
Bobur ba’zan hukmronligini mustahkamlash uchun raqiblariga nisbatan beqaror munosabatda bo‘ldi.,-1
Bobur o‘zining raqiblarini sindirish uchun ko‘p hollarda shafqatsiz va qo‘pol usullardan foydalandi.,-1
Ba’zan Bobur o‘zining harbiy yurishlarida janglarda qizg‘in kurash olib bormadi.,-1
Bobur ko‘p hollarda jahon siyosatidagi ijtimoiy va iqtisodiy o‘zgarishlarga qarshi turdi.,-1
"Bobur o‘zining hukmronligini kuchaytirish uchun faqat janglarga tayandi, diplomatik yechimlarni unutmadi.",-1
Bobur ba’zan o‘zining shaxsiy istaklarini jamiyatning umumiy manfaatlaridan ustun qo‘ydi.,-1
Bobur o‘zining siyosiy faoliyatida ba’zan davlatning uzoq muddatli manfaatlarini hisobga olmadi.,-1
Ba’zan Bobur davlatning ichki ishlarida tartibsizliklar keltirib chiqardi.,-1
U ko‘plab ko‘plab xalqni o‘zining hukmronligi ostida majburiyatlarga olib keldi.,-1
Bobur o‘zining hukmronligi davrida ko‘plab madaniy inqirozlarni keltirib chiqardi.,-1
Bobur ba’zan o‘zining harbiy yurishlarida noto‘g‘ri maqsadlarni tanladi.,-1
U o‘zining shaxsiy qarorlarini amalga oshirishda davlatning manfaatlarini unutgan.,-1
Bobur o‘zining hukmronligini yanada mustahkamlashda xalqni yirik ziyonlarga olib keldi.,-1
Ba’zan Bobur o‘zining siyosiy faoliyatida yo‘qotgan imkoniyatlarni qayta tikladi.,-1
"Bobur ba’zan o‘zining hurmatini tiklash uchun, xalqni siquvga solgan.",-1
Bobur ba’zan raqiblariga qarshi juda shafqatsiz usullardan foydalandi.,-1
O‘zining harbiy yurishlarida Bobur ko‘plab mas’uliyatsiz qarorlar qabul qildi.,-1
U ko‘p hollarda diplomatik tashabbuslar o‘rniga kuch ishlatishga moyil edi.,-1
Bobur o‘zining harbiy yurishlarida aholi uchun zarur bo‘lgan tinchlik o‘rnatishni unutdi.,-1
"U janglarda g‘alaba qozonishga intilib, tinch aholini talon-taroj qildi.",-1
Bobur o‘zining siyosiy qarorlarini qabul qilishda doimo shaxsiy manfaatlarini birinchi o‘ringa qo‘ydi.,-1
Bobur ba’zan o‘zining hukmronligini mustahkamlash uchun qonunlarni buzdi.,-1
O‘zining amaliyotida u ko‘p hollarda xalqning haq-huquqlarini nazarda tutmadi.,-1
Bobur o‘zining harbiy yurishlarida ko‘plab yo‘qotishlarga sabab bo‘ldi.,-1
"U ba’zan yurtini boshqarishda qat’iy qarorlar qabul qilib, jamiyatda noxushliklarga olib keldi.",-1
Bobur o‘zining harbiy muvaffaqiyatlari uchun ko‘plab jinoyatlar sodir etdi.,-1
Ba’zan Bobur xalqni ajratish va ziddiyatlarni keltirib chiqarishda faol rol o‘ynadi.,-1
Bobur o‘zining amaliyotlarida ko‘plab noqonuniy harakatlarni amalga oshirdi.,-1
U o‘zining hukmronlik davrida ba’zan xato qarorlar bilan xalqni qashshoqlikka olib keldi.,-1
Bobur o‘zining shaxsiy manfaatlarini xalqning umumiy manfaatlaridan ustun qo‘ydi.,-1
U ko‘plab joylarda hukmronlikni mustahkamlash uchun aholini qo‘rqitishga va ularni bosib o‘tishga harakat qildi.,-1
Bobur o‘zining harbiy yurishlarida ko‘p marta xatolarni takrorladi va yo‘qotishlarga duch keldi.,-1
Bobur ba’zan o‘zining hukmronligini kuchaytirish uchun boshqa xalqlarni talon-taroj qildi.,-1
U ba’zan qarorlarida adolatni unutdi va faqat o‘zining yurtini o‘yladi.,-1
Bobur o‘zining siyosiy faoliyatida ko‘p marta noaniqliklarni yaratdi va xalqni notinch qildi.,-1
Bobur ko‘p hollarda o‘zining ambitsiyalarini xalqning hayoti bilan solishtirdi va zarur bo‘lgan resurslarni noto‘g‘ri sarfladi.,-1
U o‘zining hukmronlik davrida iqtisodiy inqirozlarni keltirib chiqardi.,-1
Bobur o‘zining shaxsiy manfaatlari uchun ko‘plab resurslarni va imkoniyatlarni isrof qildi.,-1
Ba’zan Bobur o‘zining harbiy strategiyasini noto‘g‘ri tanladi va shuning uchun ko‘plab janglarda g‘alaba qozona olmadi.,-1
Bobur o‘zining siyosiy qarorlarida xalqni yoki ularning ehtiyojlarini hisobga olmagan.,-1
"Bobur ba’zan noto‘g‘ri qarorlar qabul qilib, o‘zining davlatida ishonchni yo‘qotdi.",-1
U ko‘plab yurtlarda o‘zining harbiy yurishlari natijasida tinchlikni o‘rnatishda muvaffaqiyatsiz bo‘ldi.,-1
Bobur o‘zining xalqaro siyosatda ko‘p vaqtlarida ba’zan beqiyos va samarasiz qarorlar qabul qildi.,-1
"Bobur ba’zan o‘zining harbiy yurishlarida odamlarni faqat jangovar qobiliyatiga qarab tanladi, axloqiy qadriyatlarni hisobga olmadi.",-1
Bobur ba’zan do‘stlarining maslahatlarini e’tiborsiz qoldirdi va shu sababli ba’zi muvaffaqiyatsizliklarga uchradi.,-1
"U ko‘plab janglarda va qarorlarda samarasiz qarorlar qabul qilib, ko‘p xatolarga yo‘l qo‘ydi.",-1
Bobur o‘zining siyosiy va harbiy yurishlarida juda ko‘p yo‘qotishlarga sabab bo‘ldi.,-1
"U o‘zining amaliyotida faqat kuchga tayanib, diplomatik yechimlarni ko‘p hollarda unutdi.",-1
Bobur ba’zan o‘zining shaxsiy ehtiyojlarini davlatning umumiy manfaatlaridan ustun qo‘ydi.,-1
"Bobur o‘zining harbiy yurishlarida ko‘p holatlarda nafaqat raqiblarni, balki o‘z xalqini ham zarar keltirdi.",-1
Ba’zan Bobur o‘zining siyosiy qarorlarida hech qanday ijtimoiy barqarorlikni yaratolmagan.,-1
Bobur ba’zan o‘zining hukmronligi davrida iqtisodiy va ijtimoiy tengsizlikni keltirib chiqardi.,-1
"U ko‘p hollarda jamiyatdagi nohaqliklarni hal qilish o‘rniga, ularni yanada kuchaytirishga sabab bo‘ldi.",-1
Bobur ko‘p holatlarda o‘zining jangovar tajribasini yozgan.,-1
Bobur o‘zining yo‘qotgan janglari haqida ham so‘zlab o‘tdi.,0
U o‘zining harbiy yurishlari davomida ko‘plab yangi yerlarni egalladi.,0
Bobur ko‘plab janglarda qo‘shinlarining tartibini o‘zgartirdi.,0
Bobur o‘zining hayoti davomida ko‘plab janglarni boshqardi.,0
U o‘zining hukmronligi davrida bir nechta yangi qo‘shin tashkilotlarini yaratdi.,0
Bobur ko‘p joylarda urushlar va tinchlik o‘rtasida muvozanatni topishga harakat qildi.,0
U ba’zan o‘zining harbiy yurishlarini tashkillashtirishda qiyinchiliklarga duch keldi.,0
Bobur ko‘plab mamlakatlar bilan ittifoqlar tuzishga intildi.,0
O‘zining yurishlari davomida Bobur ko‘p bor yangi hududlarga kirib bordi.,0
"Bobur ba’zan urushlardan qaytib, kuchini tiklashga vaqt ajratdi.",0
Bobur o‘zining jangovar rejalarida ko‘plab yangi taktikalarni sinab ko‘rdi.,0
Bobur bir nechta muhim shaharlarga hujum qildi va bu shaharlarda yirik o‘zgarishlar ro‘y berdi.,0
Bobur bir qancha janglarda g‘alaba qozonish uchun boshqa sarkardalar bilan maslahatlashdi.,0
Bobur o‘zining yurishlari davomida ko‘plab yangi joylarni o‘rgandi.,0
Bobur ko‘plab janglardan keyin o‘zining harbiy strategiyalarini qayta ko‘rib chiqdi.,0
O‘zining yurishlari davomida Bobur ko‘plab jangovar to‘qnashuvlarga duch keldi.,0
Bobur o‘zining hukmronligi davrida o‘z joylariga ko‘plab sarkardalarni yubordi.,0
Bobur o‘zining janglarida ko‘plab xalqaro yordamga tayanib ishladi.,0
Bobur o‘zining harbiy muvaffaqiyatlarini o‘z asarlarida qayd etdi.,0
Bobur har doim o‘zining yurishlari haqida batafsil yozdi.,0
Bobur ba’zan janglar va hokimiyatni boshqarishda uzluksiz o‘zgarishlarni amalga oshirdi.,0
Bobur ba’zan eng qiyin vaqtlarda o‘zining harbiy safarlariga yangi maqsadlar kiritdi.,0
Bobur o‘zining harbiy yurishlarida ba’zan ko‘p vaqtni sarfladi.,0
Bobur ko‘p hollarda o‘zining janglarida yangi texnikalar va taktikalarni qo‘lladi.,0
Bobur o‘zining asarlarida ko‘plab siyosiy va harbiy voqealarni ta’kidladi.,0
Bobur o‘zining hayoti davomida harbiy va siyosiy ixtiloflar haqida yozdi.,0
Bobur har doim o‘zining yurtidagi o‘zgarishlarni diqqat bilan kuzatdi.,0
Bobur o‘zining yurishlarini amalga oshirishda har doim o‘zining yurtining qiziqishlarini hisobga oldi.,0
Bobur ba’zan o‘zining harbiy yurishlarida o‘sha davrning boshqa hukmdorlari bilan munosabatlarni shakllantirdi.,0
Bobur ba’zan o‘zining hukmronligini mustahkamlash uchun yirik janglar o‘tkazdi.,0
Bobur ko‘plab janglar davomida o‘zining strategiyalarini yangilab bordi.,0
Bobur o‘zining janglarida ko‘plab xalqaro hukmdorlar bilan muloqot qildi.,0
Bobur o‘zining yurishlarida ba’zan o‘zining yurtidagi siyosiy ixtiloflarni ko‘rsatdi.,0
Bobur har doim o‘zining yozgan asarlarida tarixiy voqealarni taqdim etdi.,0
Bobur ko‘p hollarda o‘zining harbiy yurishlaridan so‘ng yangi maqsadlar belgilab oldi.,0
Bobur ba’zan o‘zining yurtida siyosiy islohotlar amalga oshirdi.,0
Bobur ko‘plab mamlakatlar bilan muvofiq diplomatik aloqalarni o‘rnatishga intildi.,0
Bobur o‘zining janglarida ba’zan ko‘plab jangovar qobiliyatlarni sinab ko‘rdi.,0
Bobur ba’zan o‘zining hukmronligi davrida ba’zi yangi davlatlar bilan ittifoqlar tuzdi.,0
Bobur ba’zan o‘zining yozgan asarlarida ko‘plab shaxsiy tajribalarini keltirdi.,0
Bobur o‘zining siyosiy faoliyatida ba’zan yangi hududlarni o‘rgandi.,0
Bobur o‘zining janglarida ba’zan yangi metodlarni sinab ko‘rdi va ularni rivojlantirdi.,0
Bobur o‘zining harbiy yurishlarini amalga oshirishda yangi hududlarga kirishga intildi.,0
Bobur o‘zining yurishlarida ba’zan ba’zi qiyinchiliklarni yengib o‘tdi.,0
Bobur ko‘plab janglarda raqiblariga qarshi samarali taktikalardan foydalandi.,0
Bobur ba’zan o‘zining siyosiy faoliyatini xalqaro miqyosda kuzatdi.,0
Bobur o‘zining hukmronligini davom ettirish uchun ba’zan yangi imkoniyatlarni izlashga harakat qildi.,0
Bobur ba’zan o‘zining janglarida yirik yirik hududlarni boshqarishga muvaffaq bo‘ldi.,0
Bobur o‘zining yurishlarida ko‘plab yangi imkoniyatlar va resurslarni o‘rganishga harakat qildi.,0
Alijon  yoshligidan  mehnatsevar va odobli bola bo'lib o'sdi,1
Shirin xotiralar bizni hech qachon tark etmaydi,1
Beshning tug'ilgan kunida barcha yaxshi niyatlar aytildi,1
Ma'shuma hayotida har doim yaxshi niyatlar bilan qarorlar qabul qilar edi,1
Yusufning harakatlari doimo o'z atrofidagi kishilarni diqqatini tortar edi,1
"Zebo nafaqat tashqi go'zalligi, balki ichki pokligi bilan ham ajralib turadi",1
Har bir inson o'z orzularini amalga oshirish uchun tinimsiz ishlashi kerakligini yaxshi tushunardi,1
Sodiq do'stlar va oila a'zolaridan bo'lgan qo'llab-quvvatlash hayotni yengillashtiradi,1
"O'zgarishlar ba'zan og'riqli bo'lishi mumkin, ammo ular hayotning zarur qismidir",1
Shukur qilish va yashashni qadrlash – bu Asqar uchun har bir kunning mohiyatidir,1
"Fikrlar va istaklar birlashganda, haqiqiy baxtga erishish mumkin",1
Insonning mehnati va sabri har doim muvaffaqiyatga olib keladi,1
Boshqalar bilan bo'lib o'tgan yaxshi munosabatlar har bir insonning hayotida katta ahamiyatga ega,1
